R.1,R.2,R.3,score,rebuild
0.82,0.15,0.03,-0.45312,FALSE
0.81,0.16,0.03,-0.44978,FALSE
0.8,0.17,0.03,-0.44644,FALSE
0.79,0.18,0.03,-0.44310000000000005,FALSE
0.78,0.19,0.03,-0.43976000000000004,FALSE
0.77,0.2,0.03,-0.43642000000000003,FALSE
0.76,0.21,0.03,-0.43308,FALSE
0.75,0.22,0.03,-0.42974,FALSE
0.74,0.23,0.03,-0.4264,FALSE
0.73,0.24,0.03,-0.42306,FALSE
0.72,0.25,0.03,-0.41972,FALSE
0.71,0.26,0.03,-0.41638,FALSE
0.7,0.27,0.03,-0.41304,FALSE
0.69,0.28,0.03,-0.4097,FALSE
0.68,0.29,0.03,-0.40636,FALSE
0.67,0.3,0.03,-0.40302000000000004,FALSE
0.66,0.31,0.03,-0.39968000000000004,FALSE
0.65,0.32,0.03,-0.39634,FALSE
0.64,0.33,0.03,-0.393,FALSE
0.63,0.34,0.03,-0.38966,FALSE
0.62,0.35,0.03,-0.38632,FALSE
0.61,0.36,0.03,-0.38298,FALSE
0.6,0.37,0.03,-0.37964,FALSE
0.59,0.38,0.03,-0.3763,FALSE
0.58,0.39,0.03,-0.37296,FALSE
0.57,0.4,0.03,-0.36962,FALSE
0.56,0.41,0.03,-0.36628,FALSE
0.55,0.42,0.03,-0.36294,FALSE
0.54,0.43,0.03,-0.35960000000000003,FALSE
0.53,0.44,0.03,-0.35626,FALSE
0.52,0.45,0.03,-0.35292,FALSE
0.51,0.46,0.03,-0.34958,FALSE
0.5,0.47,0.03,-0.34624,FALSE
0.49,0.48,0.03,-0.34290000000000004,FALSE
0.48,0.49,0.03,-0.33956000000000003,FALSE
0.47,0.5,0.03,-0.33622,FALSE
0.46,0.51,0.03,-0.33288,FALSE
0.45,0.52,0.03,-0.32954,FALSE
0.44,0.53,0.03,-0.3262,FALSE
0.43,0.54,0.03,-0.32286,FALSE
0.42,0.55,0.03,-0.31951999999999997,FALSE
